event_id,sku_id,retailer,start_week,end_week,start_idx,dur,depth,display,feature,coupon,tier_kind,funding_type,exec_fail,trade_cost,units_on_promo,brand_funding_share,everyday,coupon_cost,wholesale_price
EV-0057,BW-101,Hollybrook Foods,2023-12-30,2023-12-30,15,1,0.25,False,True,True,ad,scanback,False,369.47,369.1,0.48,5.49,22.15,3.623
EV-0058,BW-102,Fernhollow Market,2025-11-08,2025-11-15,112,2,0.1,False,False,False,tpr,off_invoice,False,264.83,1001.8,0.44,5.99,0.0,3.953
EV-0059,BW-102,Fernhollow Market,2024-05-25,2024-05-25,36,1,0.15,False,False,False,tpr,scanback,False,137.66,379.6,0.42,5.79,0.0,3.821
EV-0060,BW-102,Fernhollow Market,2024-11-30,2024-11-30,63,1,0.25,False,True,False,ad,scanback,False,1009.74,1158.8,0.4,5.79,0.0,3.821
EV-0061,BW-102,Fernhollow Market,2025-05-24,2025-05-24,88,1,0.15,False,False,False,tpr,scanback,False,169.49,414.1,0.46,5.99,0.0,3.953
EV-0062,BW-102,Fernhollow Market,2023-09-30,2023-10-07,2,2,0.3,True,True,True,hero,scanback,False,2768.06,1542.6,0.46,5.49,92.56,3.623
EV-0063,BW-102,Fernhollow Market,2026-06-20,2026-07-04,144,3,0.3,True,True,True,hero,scanback,False,5764.89,3250.2,0.38,6.29,195.01,4.151
EV-0064,BW-102,Fernhollow Market,2025-02-15,2025-02-15,74,1,0.15,False,False,False,tpr,scanback,False,197.16,629.0,0.36,5.79,0.0,3.821
EV-0065,BW-102,Fernhollow Market,2024-04-13,2024-04-27,30,3,0.3,True,True,False,hero,off_invoice,False,3966.33,2526.9,0.35,5.79,0.0,3.821
EV-0066,BW-102,Fernhollow Market,2025-04-12,2025-04-12,82,1,0.1,False,False,False,tpr,scanback,False,90.58,385.1,0.39,5.99,0.0,3.953
EV-0067,BW-102,Fernhollow Market,2025-06-14,2025-06-21,91,2,0.15,False,False,False,tpr,off_invoice,False,316.99,896.5,0.39,5.99,0.0,3.953
EV-0068,BW-102,Fernhollow Market,2025-07-19,2025-07-19,96,1,0.15,False,False,False,tpr,off_invoice,False,181.13,475.0,0.42,5.99,0.0,3.953
EV-0069,BW-102,Fernhollow Market,2024-12-21,2024-12-28,66,2,0.25,True,True,True,hero,scanback,False,3572.99,2833.5,0.4,5.79,170.01,3.821
EV-0070,BW-102,Fernhollow Market,2026-01-10,2026-01-10,121,1,0.1,False,False,False,tpr,scanback,False,197.52,734.0,0.43,6.29,0.0,4.151
EV-0071,BW-102,Granite Peak Grocers,2023-12-30,2024-01-06,15,2,0.3,True,True,True,hero,scanback,False,2694.68,2272.1,0.38,4.99,136.33,3.293
EV-0072,BW-102,Granite Peak Grocers,2024-12-14,2024-12-21,65,2,0.25,True,True,False,hero,scanback,False,3110.71,2590.8,0.47,5.29,0.0,3.491
EV-0073,BW-102,Granite Peak Grocers,2026-05-23,2026-05-30,140,2,0.2,False,True,False,ad,scanback,False,1300.41,1220.5,0.42,5.79,0.0,3.821
EV-0074,BW-102,Granite Peak Grocers,2024-08-10,2024-08-24,47,3,0.3,True,True,False,hero,scanback,False,3597.56,2292.1,0.43,5.29,0.0,3.491
EV-0075,BW-102,Granite Peak Grocers,2026-01-31,2026-02-07,124,2,0.2,False,True,False,ad,scanback,False,1559.43,1756.4,0.46,5.49,0.0,3.623
EV-0076,BW-102,Granite Peak Grocers,2026-07-04,2026-07-04,146,1,0.2,True,True,False,ad,scanback,True,1138.79,373.3,0.44,5.79,0.0,3.821
EV-0077,BW-102,Granite Peak Grocers,2024-07-06,2024-07-06,42,1,0.25,False,True,True,ad,scanback,False,673.24,688.6,0.39,5.29,41.32,3.491
EV-0078,BW-102,Granite Peak Grocers,2025-02-15,2025-02-15,74,1,0.1,False,False,False,tpr,off_invoice,False,89.31,456.4,0.37,5.29,0.0,3.491
EV-0079,BW-102,Granite Peak Grocers,2024-04-13,2024-04-20,30,2,0.15,False,False,False,tpr,scanback,False,180.99,654.8,0.35,5.29,0.0,3.491
EV-0080,BW-102,Granite Peak Grocers,2023-10-21,2023-10-21,5,1,0.15,False,False,False,tpr,scanback,False,107.4,372.8,0.38,4.99,0.0,3.293
EV-0081,BW-102,Granite Peak Grocers,2024-03-23,2024-03-23,27,1,0.1,False,False,False,tpr,scanback,False,76.85,439.3,0.35,4.99,0.0,3.293
EV-0082,BW-102,Granite Peak Grocers,2025-01-18,2025-01-18,70,1,0.15,False,False,False,tpr,off_invoice,False,156.39,470.8,0.42,5.29,0.0,3.491
EV-0083,BW-102,Granite Peak Grocers,2026-07-25,2026-07-25,149,1,0.15,False,False,False,tpr,scanback,False,161.59,524.0,0.36,5.79,0.0,3.821
EV-0084,BW-102,Granite Peak Grocers,2026-08-22,2026-08-22,153,1,0.2,False,True,False,ad,off_invoice,False,826.29,852.7,0.47,5.79,0.0,3.821
EV-0085,BW-102,Granite Peak Grocers,2025-08-09,2025-08-16,99,2,0.15,False,False,False,tpr,off_invoice,False,227.41,788.8,0.35,5.49,0.0,3.623
EV-0086,BW-102,Granite Peak Grocers,2024-09-28,2024-09-28,54,1,0.2,False,True,False,ad,scanback,False,552.6,539.8,0.47,5.29,0.0,3.491
EV-0087,BW-102,Granite Peak Grocers,2026-03-28,2026-04-04,132,2,0.3,True,True,False,hero,scanback,False,3269.13,2239.1,0.38,5.79,0.0,3.821
EV-0088,BW-102,ThriftLane,2026-06-27,2026-07-04,145,2,0.15,False,False,False,tpr,scanback,False,667.91,2011.5,0.44,4.99,0.0,3.293
EV-0089,BW-102,ThriftLane,2025-07-05,2025-07-05,94,1,0.2,False,True,False,ad,scanback,False,902.35,1268.7,0.38,4.49,0.0,2.963
EV-0090,BW-102,ThriftLane,2026-03-07,2026-03-07,129,1,0.1,False,False,False,tpr,scanback,False,247.2,1184.1,0.44,4.79,0.0,3.161
EV-0091,BW-102,ThriftLane,2023-11-04,2023-11-04,7,1,0.15,False,False,False,tpr,scanback,False,173.47,638.5,0.42,4.29,0.0,2.831
EV-0092,BW-102,ThriftLane,2023-12-16,2023-12-23,13,2,0.2,False,True,False,ad,off_invoice,False,1532.18,2859.4,0.34,4.29,0.0,2.831
EV-0093,BW-102,ThriftLane,2025-08-23,2025-08-23,101,1,0.1,False,False,False,tpr,off_invoice,False,202.81,956.9,0.44,4.79,0.0,3.161
EV-0094,BW-102,ThriftLane,2024-12-28,2025-01-04,67,2,0.15,False,False,False,tpr,off_invoice,False,718.38,2447.8,0.44,4.49,0.0,2.963
EV-0095,BW-102,ThriftLane,2024-02-03,2024-02-03,20,1,0.2,False,True,False,ad,off_invoice,False,743.21,1096.7,0.43,4.29,0.0,2.831
EV-0096,BW-102,ThriftLane,2024-05-25,2024-05-25,36,1,0.15,False,False,False,tpr,scanback,False,199.86,737.8,0.4,4.49,0.0,2.963
EV-0097,BW-102,ThriftLane,2024-11-30,2024-11-30,63,1,0.2,False,True,True,ad,scanback,False,1160.34,1652.9,0.44,4.49,99.17,2.963
EV-0098,BW-102,ThriftLane,2026-08-08,2026-08-22,151,3,0.2,True,True,False,hero,scanback,False,6601.5,5265.3,0.47,4.99,0.0,3.293
EV-0099,BW-102,ThriftLane,2025-10-11,2025-10-11,108,1,0.1,False,False,False,tpr,scanback,True,113.67,527.3,0.45,4.79,0.0,3.161
EV-0100,BW-102,ThriftLane,2024-08-31,2024-08-31,50,1,0.15,False,False,False,tpr,scanback,False,296.77,1187.1,0.37,4.49,0.0,2.963
EV-0101,BW-102,ThriftLane,2023-09-30,2023-10-07,2,2,0.25,False,True,True,ad,scanback,False,1662.17,1967.3,0.43,4.29,118.04,2.831
EV-0102,BW-102,ThriftLane,2025-11-22,2025-11-29,114,2,0.2,True,True,False,hero,off_invoice,False,4185.76,4575.8,0.4,4.79,0.0,3.161
EV-0103,BW-102,ThriftLane,2026-05-16,2026-05-30,139,3,0.25,True,True,True,hero,off_invoice,True,5103.41,2287.7,0.35,4.99,137.26,3.293
EV-0104,BW-102,ThriftLane,2025-12-20,2026-01-03,118,3,0.2,True,True,True,hero,off_invoice,False,7128.21,7759.5,0.38,4.79,465.57,3.161
EV-0105,BW-102,ThriftLane,2026-04-11,2026-04-11,134,1,0.15,False,False,False,tpr,scanback,False,275.47,1045.6,0.35,4.99,0.0,3.293
EV-0106,BW-102,ThriftLane,2025-09-13,2025-09-13,104,1,0.1,False,False,False,tpr,scanback,False,176.75,841.1,0.44,4.79,0.0,3.161
EV-0107,BW-102,ThriftLane,2025-05-31,2025-05-31,89,1,0.25,True,True,False,ad,scanback,False,1779.54,1566.7,0.36,4.49,0.0,2.963
EV-0108,BW-102,ThriftLane,2024-10-05,2024-10-05,55,1,0.15,False,False,False,tpr,off_invoice,False,293.4,1022.3,0.43,4.49,0.0,2.963
EV-0109,BW-102,ThriftLane,2024-06-29,2024-06-29,41,1,0.15,False,False,False,tpr,off_invoice,False,216.44,871.4,0.37,4.49,0.0,2.963
EV-0110,BW-102,ThriftLane,2024-04-27,2024-05-04,32,2,0.15,False,False,False,tpr,off_invoice,False,324.51,1257.2,0.4,4.29,0.0,2.831
EV-0111,BW-102,ThriftLane,2024-04-06,2024-04-06,29,1,0.15,False,False,False,tpr,scanback,False,201.95,673.4,0.47,4.29,0.0,2.831
EV-0112,BW-102,ThriftLane,2024-11-02,2024-11-02,59,1,0.25,False,True,False,ad,scanback,True,724.38,605.2,0.47,4.49,0.0,2.963
EV-0113,BW-102,ThriftLane,2026-01-24,2026-01-31,123,2,0.15,False,False,False,tpr,scanback,False,781.9,2408.6,0.45,4.79,0.0,3.161
EV-0114,BW-102,ThriftLane,2025-07-26,2025-07-26,97,1,0.15,False,False,False,tpr,scanback,False,323.7,985.0,0.46,4.79,0.0,3.161
EV-0115,BW-102,Hollybrook Foods,2024-03-16,2024-03-23,26,2,0.2,False,True,True,ad,scanback,False,485.58,442.8,0.4,5.79,26.57,3.821
EV-0116,BW-102,Hollybrook Foods,2026-03-28,2026-04-04,132,2,0.15,False,False,False,tpr,scanback,False,128.61,332.6,0.41,6.29,0.0,4.151
EV-0117,BW-102,Hollybrook Foods,2025-08-16,2025-08-23,100,2,0.2,False,True,False,ad,scanback,False,566.86,477.7,0.45,5.99,0.0,3.953
EV-0118,BW-102,Hollybrook Foods,2025-07-05,2025-07-12,94,2,0.15,False,False,False,tpr,off_invoice,False,114.09,287.5,0.44,5.99,0.0,3.953
EV-0119,BW-102,Hollybrook Foods,2025-02-22,2025-03-01,75,2,0.2,False,True,False,ad,off_invoice,False,536.28,534.3,0.41,5.79,0.0,3.821
EV-0120,BW-102,Hollybrook Foods,2025-10-11,2025-10-11,108,1,0.15,False,False,False,tpr,off_invoice,False,76.24,216.2,0.39,5.99,0.0,3.953
EV-0121,BW-102,Hollybrook Foods,2023-12-16,2023-12-16,13,1,0.15,False,False,False,tpr,scanback,False,58.72,180.8,0.39,5.49,0.0,3.623
EV-0122,BW-102,Hollybrook Foods,2024-11-16,2024-11-16,61,1,0.25,True,True,True,ad,scanback,False,626.41,346.7,0.48,5.79,20.8,3.821
EV-0123,BW-102,Hollybrook Foods,2025-05-24,2025-05-31,88,2,0.2,False,True,False,ad,off_invoice,False,507.29,396.7,0.44,5.99,0.0,3.953
EV-0124,BW-102,Hollybrook Foods,2023-11-04,2023-11-11,7,2,0.15,False,False,False,tpr,scanback,False,75.58,255.7,0.36,5.49,0.0,3.623
EV-0125,BW-103,Fernhollow Market,2024-08-10,2024-08-10,47,1,0.2,True,True,False,ad,off_invoice,False,1030.22,410.9,0.37,7.49,0.0,4.943
EV-0126,BW-103,Fernhollow Market,2025-01-11,2025-01-18,69,2,0.15,False,False,False,tpr,scanback,True,237.28,600.2,0.35,7.49,0.0,4.943
EV-0127,BW-103,Fernhollow Market,2023-11-18,2023-12-02,9,3,0.3,True,True,False,hero,scanback,False,3507.85,1495.9,0.46,6.99,0.0,4.613
EV-0128,BW-103,Fernhollow Market,2024-02-24,2024-03-02,23,2,0.15,False,False,False,tpr,scanback,False,292.14,544.4,0.48,7.49,0.0,4.943
EV-0129,BW-103,Fernhollow Market,2024-08-31,2024-08-31,50,1,0.2,False,True,True,ad,scanback,False,545.71,340.6,0.42,7.49,20.44,4.943
EV-0130,BW-103,Fernhollow Market,2025-12-13,2025-12-13,117,1,0.15,False,False,False,tpr,scanback,False,212.59,471.8,0.38,7.99,0.0,5.273
EV-0131,BW-103,Fernhollow Market,2025-10-11,2025-10-18,108,2,0.15,False,False,False,tpr,off_invoice,False,257.7,567.9,0.38,7.99,0.0,5.273
EV-0132,BW-103,Fernhollow Market,2026-01-03,2026-01-03,120,1,0.25,False,True,False,ad,scanback,False,1044.69,770.1,0.4,8.29,0.0,5.471
EV-0133,BW-103,Fernhollow Market,2026-05-16,2026-05-23,139,2,0.15,False,False,False,tpr,scanback,False,251.37,592.9,0.34,8.29,0.0,5.471
EV-0134,BW-103,Fernhollow Market,2026-08-01,2026-08-15,150,3,0.3,True,True,False,hero,scanback,False,5068.08,1850.3,0.39,8.29,0.0,5.471
EV-0135,BW-103,Granite Peak Grocers,2025-12-27,2026-01-03,119,2,0.2,True,True,True,ad,off_invoice,False,3133.49,1817.4,0.46,7.49,109.04,4.943
EV-0136,BW-103,Granite Peak Grocers,2025-07-12,2025-07-19,95,2,0.1,False,False,False,tpr,scanback,False,136.81,484.4,0.38,7.49,0.0,4.943
EV-0137,BW-103,Granite Peak Grocers,2026-06-20,2026-06-27,144,2,0.1,False,False,False,tpr,scanback,False,156.61,567.0,0.35,7.79,0.0,5.141
EV-0138,BW-103,Granite Peak Grocers,2024-01-06,2024-01-13,16,2,0.3,True,True,False,hero,scanback,False,2378.91,1429.1,0.36,6.49,0.0,4.283
EV-0139,BW-103,Granite Peak Grocers,2024-12-28,2024-12-28,67,1,0.15,False,False,False,tpr,scanback,False,175.7,483.7,0.35,6.99,0.0,4.613
EV-0140,BW-103,Granite Peak Grocers,2023-11-11,2023-11-18,8,2,0.1,False,False,False,tpr,off_invoice,False,110.3,453.4,0.37,6.49,0.0,4.283
EV-0141,BW-103,Granite Peak Grocers,2025-05-24,2025-05-31,88,2,0.25,False,True,True,ad,scanback,False,1302.74,830.4,0.4,7.49,49.82,4.943
EV-0142,BW-103,Granite Peak Grocers,2026-08-08,2026-08-08,151,1,0.25,False,True,False,ad,scanback,False,690.46,367.1,0.44,7.79,0.0,5.141
EV-0143,BW-103,Granite Peak Grocers,2024-11-23,2024-11-23,62,1,0.1,False,False,False,tpr,off_invoice,False,83.83,300.2,0.4,6.99,0.0,4.613
EV-0144,BW-103,Granite Peak Grocers,2024-05-25,2024-05-25,36,1,0.25,False,True,False,ad,scanback,False,485.77,338.5,0.35,6.99,0.0,4.613
EV-0145,BW-103,Granite Peak Grocers,2026-02-07,2026-02-14,125,2,0.25,True,True,True,hero,scanback,False,3099.51,1466.8,0.45,7.49,88.01,4.943
EV-0146,BW-103,Granite Peak Grocers,2024-03-02,2024-03-02,24,1,0.25,False,True,False,ad,scanback,False,578.83,422.8,0.46,6.49,0.0,4.283
EV-0147,BW-103,Granite Peak Grocers,2024-06-22,2024-06-29,40,2,0.1,False,False,False,tpr,scanback,False,132.32,438.2,0.43,6.99,0.0,4.613
EV-0148,BW-103,Granite Peak Grocers,2026-05-09,2026-05-09,138,1,0.1,False,False,False,tpr,off_invoice,False,107.98,318.2,0.44,7.79,0.0,5.141
EV-0149,BW-103,Granite Peak Grocers,2024-08-31,2024-09-07,50,2,0.25,True,True,False,hero,off_invoice,False,2084.96,920.4,0.4,6.99,0.0,4.613
EV-0150,BW-103,Granite Peak Grocers,2023-12-16,2023-12-16,13,1,0.2,True,True,False,ad,scanback,False,952.77,487.3,0.46,6.49,0.0,4.283
EV-0151,BW-103,Granite Peak Grocers,2024-10-26,2024-11-02,58,2,0.15,False,False,False,tpr,scanback,False,223.32,533.8,0.4,6.99,0.0,4.613
EV-0152,BW-103,ThriftLane,2024-11-02,2024-11-09,59,2,0.15,False,False,False,tpr,scanback,False,333.15,986.7,0.39,5.79,0.0,3.821
EV-0153,BW-103,ThriftLane,2024-04-20,2024-04-20,31,1,0.1,False,False,False,tpr,scanback,False,107.42,544.5,0.36,5.49,0.0,3.623
EV-0154,BW-103,ThriftLane,2024-01-13,2024-01-20,17,2,0.25,True,True,True,hero,scanback,False,3746.86,3033.7,0.38,5.49,182.02,3.623
EV-0155,BW-103,ThriftLane,2025-11-29,2025-11-29,115,1,0.2,False,True,False,ad,scanback,False,1069.41,1372.5,0.35,5.99,0.0,3.953
EV-0156,BW-103,ThriftLane,2025-05-17,2025-05-17,87,1,0.1,False,False,False,tpr,off_invoice,True,99.53,411.1,0.42,5.79,0.0,3.821
EV-0157,BW-103,ThriftLane,2026-08-08,2026-08-08,151,1,0.1,False,False,False,tpr,scanback,False,164.85,596.3,0.44,6.29,0.0,4.151
EV-0158,BW-103,ThriftLane,2025-12-27,2025-12-27,119,1,0.2,True,True,True,ad,scanback,True,1746.5,720.4,0.45,5.99,43.22,3.953
EV-0159,BW-103,ThriftLane,2024-07-13,2024-07-13,43,1,0.15,False,False,False,tpr,scanback,False,132.18,430.5,0.35,5.79,0.0,3.821
EV-0160,BW-103,ThriftLane,2023-11-11,2023-11-18,8,2,0.25,False,True,False,ad,scanback,False,1554.49,1581.1,0.37,5.49,0.0,3.623
EV-0161,BW-103,ThriftLane,2024-03-30,2024-03-30,28,1,0.2,False,True,True,ad,scanback,False,856.77,804.7,0.46,5.49,48.28,3.623
EV-0162,BW-103,ThriftLane,2025-10-11,2025-10-11,108,1,0.15,False,False,False,tpr,scanback,False,317.67,756.1,0.47,5.99,0.0,3.953
EV-0163,BW-103,ThriftLane,2023-10-21,2023-10-21,5,1,0.1,False,False,False,tpr,scanback,False,135.59,536.7,0.46,5.49,0.0,3.623
EV-0164,BW-103,ThriftLane,2024-08-31,2024-09-07,50,2,0.2,False,True,False,ad,off_invoice,False,1521.36,1508.4,0.39,5.79,0.0,3.821
EV-0165,BW-103,ThriftLane,2026-05-16,2026-05-16,139,1,0.2,True,True,False,ad,scanback,False,1860.3,1052.2,0.4,6.29,0.0,4.151
