week_end,t,sku_id,sku_name,line,retailer,units,everyday_price,price,dollars,arp,promo_flag,depth,display,feature,coupon,sibling_promo,pre_promo,post_promo,stores_selling,pct_acv,oos_week,base_units_true,cogs,true_base_pe,true_promo_pe,true_display_mult,true_feature_mult,true_coupon_mult,naive_base_units,naive_incr_units
2023-12-30,15,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,466.5,5.49,5.49,2561.18,5.49,0,0.0,0,0,0,0,0,1,77,0.657,0,498.3,1.32,-1.3,-2.0,1.32,1.2,1.12,466.5,0.0
2024-01-06,16,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,738.5,5.49,5.49,4054.34,5.49,0,0.0,0,0,0,0,0,0,75,0.64,0,563.6,1.32,-1.3,-2.0,1.32,1.2,1.12,738.5,0.0
2024-01-13,17,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,646.3,5.49,5.49,3548.21,5.49,0,0.0,0,0,0,0,0,0,76,0.649,0,577.6,1.32,-1.3,-2.0,1.32,1.2,1.12,646.3,0.0
2024-01-20,18,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,469.6,5.49,5.49,2578.32,5.49,0,0.0,0,0,0,0,0,0,75,0.64,0,425.5,1.32,-1.3,-2.0,1.32,1.2,1.12,469.6,0.0
2024-01-27,19,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,520.3,5.49,5.49,2856.22,5.49,0,0.0,0,0,0,0,0,0,77,0.657,0,438.4,1.32,-1.3,-2.0,1.32,1.2,1.12,520.3,0.0
2024-02-03,20,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,506.7,5.49,5.49,2781.56,5.49,0,0.0,0,0,0,0,0,0,76,0.649,0,432.2,1.32,-1.3,-2.0,1.32,1.2,1.12,506.7,0.0
2024-02-10,21,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,565.3,5.49,5.49,3103.54,5.49,0,0.0,0,0,0,0,0,0,75,0.64,0,424.0,1.32,-1.3,-2.0,1.32,1.2,1.12,565.3,0.0
2024-02-17,22,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,373.3,5.79,5.79,2161.16,5.79,0,0.0,0,0,0,0,0,0,77,0.657,0,401.8,1.32,-1.3,-2.0,1.32,1.2,1.12,373.3,0.0
2024-02-24,23,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,348.4,5.79,5.79,2017.12,5.79,0,0.0,0,0,0,1,1,0,77,0.657,0,395.6,1.32,-1.3,-2.0,1.32,1.2,1.12,348.4,0.0
2024-03-02,24,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,931.1,5.79,4.63,4553.32,4.89,1,0.2,0,1,1,1,0,0,77,0.657,0,387.8,1.32,-1.3,-2.0,1.32,1.2,1.12,513.5,417.6
2024-03-09,25,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,388.8,5.79,5.79,2251.27,5.79,0,0.0,0,0,0,0,0,1,76,0.649,0,373.8,1.32,-1.3,-2.0,1.32,1.2,1.12,388.8,0.0
2024-03-16,26,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,363.8,5.79,5.79,2106.63,5.79,0,0.0,0,0,0,0,0,0,78,0.666,0,373.4,1.32,-1.3,-2.0,1.32,1.2,1.12,363.8,0.0
2024-03-23,27,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,310.6,5.79,5.79,1798.36,5.79,0,0.0,0,0,0,0,0,0,79,0.674,0,367.3,1.32,-1.3,-2.0,1.32,1.2,1.12,310.6,0.0
2024-03-30,28,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,351.5,5.79,5.79,2034.98,5.79,0,0.0,0,0,0,0,0,0,79,0.674,0,356.2,1.32,-1.3,-2.0,1.32,1.2,1.12,351.5,0.0
2024-04-06,29,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,324.7,5.79,5.79,1879.93,5.79,0,0.0,0,0,0,0,0,0,79,0.674,0,345.3,1.32,-1.3,-2.0,1.32,1.2,1.12,324.7,0.0
2024-04-13,30,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,292.5,5.79,5.79,1693.59,5.79,0,0.0,0,0,0,1,0,0,78,0.666,0,330.7,1.32,-1.3,-2.0,1.32,1.2,1.12,292.5,0.0
2024-04-20,31,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,326.1,5.79,5.79,1888.29,5.79,0,0.0,0,0,0,1,0,0,78,0.666,0,321.3,1.32,-1.3,-2.0,1.32,1.2,1.12,326.1,0.0
2024-04-27,32,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,307.2,5.79,5.79,1778.52,5.79,0,0.0,0,0,0,1,0,0,79,0.674,0,316.9,1.32,-1.3,-2.0,1.32,1.2,1.12,307.2,0.0
2024-05-04,33,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,272.5,5.79,5.79,1578.05,5.79,0,0.0,0,0,0,0,0,0,78,0.666,0,305.6,1.32,-1.3,-2.0,1.32,1.2,1.12,272.5,0.0
2024-05-11,34,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,283.0,5.79,5.79,1638.34,5.79,0,0.0,0,0,0,0,0,0,79,0.674,0,303.4,1.32,-1.3,-2.0,1.32,1.2,1.12,283.0,0.0
2024-05-18,35,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,323.7,5.79,5.79,1874.2,5.79,0,0.0,0,0,0,0,0,0,80,0.683,0,311.6,1.32,-1.3,-2.0,1.32,1.2,1.12,323.7,0.0
2024-05-25,36,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,314.4,5.79,5.79,1820.55,5.79,0,0.0,0,0,0,1,0,0,79,0.674,0,308.8,1.32,-1.3,-2.0,1.32,1.2,1.12,314.4,0.0
2024-06-01,37,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,291.8,5.79,5.79,1689.25,5.79,0,0.0,0,0,0,0,0,0,78,0.666,0,289.4,1.32,-1.3,-2.0,1.32,1.2,1.12,291.8,0.0
2024-06-08,38,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,300.4,5.79,5.79,1739.27,5.79,0,0.0,0,0,0,0,0,0,78,0.666,0,288.6,1.32,-1.3,-2.0,1.32,1.2,1.12,300.4,0.0
2024-06-15,39,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,259.2,5.79,5.79,1500.68,5.79,0,0.0,0,0,0,0,0,0,82,0.7,0,303.7,1.32,-1.3,-2.0,1.32,1.2,1.12,259.2,0.0
2024-06-22,40,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,296.2,5.79,5.79,1714.82,5.79,0,0.0,0,0,0,0,0,0,83,0.709,0,308.8,1.32,-1.3,-2.0,1.32,1.2,1.12,296.2,0.0
2024-06-29,41,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,298.6,5.79,5.79,1728.79,5.79,0,0.0,0,0,0,0,0,0,82,0.7,0,322.5,1.32,-1.3,-2.0,1.32,1.2,1.12,298.6,0.0
2024-07-06,42,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,346.8,5.79,5.79,2007.97,5.79,0,0.0,0,0,0,0,0,0,82,0.7,0,334.6,1.32,-1.3,-2.0,1.32,1.2,1.12,346.8,0.0
2024-07-13,43,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,315.7,5.79,5.79,1827.92,5.79,0,0.0,0,0,0,0,0,0,84,0.717,0,321.6,1.32,-1.3,-2.0,1.32,1.2,1.12,315.7,0.0
2024-07-20,44,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,294.5,5.79,5.79,1705.05,5.79,0,0.0,0,0,0,0,0,0,83,0.709,0,321.7,1.32,-1.3,-2.0,1.32,1.2,1.12,294.5,0.0
2024-07-27,45,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,291.0,5.79,5.79,1685.08,5.79,0,0.0,0,0,0,0,0,0,83,0.709,0,325.9,1.32,-1.3,-2.0,1.32,1.2,1.12,291.0,0.0
2024-08-03,46,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,345.7,5.79,5.79,2001.5,5.79,0,0.0,0,0,0,0,0,0,84,0.717,0,333.9,1.32,-1.3,-2.0,1.32,1.2,1.12,345.7,0.0
2024-08-10,47,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,272.2,5.79,5.79,1575.96,5.79,0,0.0,0,0,0,1,0,0,82,0.7,0,329.9,1.32,-1.3,-2.0,1.32,1.2,1.12,272.2,0.0
2024-08-17,48,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,383.5,5.79,5.79,2220.7,5.79,0,0.0,0,0,0,0,0,0,82,0.7,0,333.6,1.32,-1.3,-2.0,1.32,1.2,1.12,383.5,0.0
2024-08-24,49,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,399.6,5.79,5.79,2313.84,5.79,0,0.0,0,0,0,0,0,0,82,0.7,0,389.2,1.32,-1.3,-2.0,1.32,1.2,1.12,399.6,0.0
2024-08-31,50,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,346.4,5.79,5.79,2005.45,5.79,0,0.0,0,0,0,1,0,0,84,0.717,0,402.2,1.32,-1.3,-2.0,1.32,1.2,1.12,346.4,0.0
2024-09-07,51,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,383.5,5.79,5.79,2220.35,5.79,0,0.0,0,0,0,0,0,0,82,0.7,0,342.7,1.32,-1.3,-2.0,1.32,1.2,1.12,383.5,0.0
2024-09-14,52,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,314.7,5.79,5.79,1822.38,5.79,0,0.0,0,0,0,0,0,0,85,0.726,0,357.9,1.32,-1.3,-2.0,1.32,1.2,1.12,314.7,0.0
2024-09-21,53,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,403.2,5.79,5.79,2334.54,5.79,0,0.0,0,0,0,0,0,0,85,0.726,0,360.4,1.32,-1.3,-2.0,1.32,1.2,1.12,403.2,0.0
2024-09-28,54,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,344.7,5.79,5.79,1995.73,5.79,0,0.0,0,0,0,0,0,0,87,0.743,0,371.4,1.32,-1.3,-2.0,1.32,1.2,1.12,344.7,0.0
2024-10-05,55,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,393.1,5.79,5.79,2276.32,5.79,0,0.0,0,0,0,0,1,0,87,0.743,0,374.1,1.32,-1.3,-2.0,1.32,1.2,1.12,393.1,0.0
2024-10-12,56,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,477.5,5.79,4.92,2363.42,4.95,1,0.15,0,0,0,0,0,0,87,0.743,0,377.2,1.32,-1.3,-2.0,1.32,1.2,1.12,383.5,94.0
2024-10-19,57,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,316.3,5.79,5.79,1831.29,5.79,0,0.0,0,0,0,0,0,1,86,0.734,0,376.4,1.32,-1.3,-2.0,1.32,1.2,1.12,316.3,0.0
2024-10-26,58,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,310.2,5.79,5.79,1796.22,5.79,0,0.0,0,0,0,0,0,0,86,0.734,0,380.5,1.32,-1.3,-2.0,1.32,1.2,1.12,310.2,0.0
2024-11-02,59,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,394.1,5.79,5.79,2281.94,5.79,0,0.0,0,0,0,0,0,0,87,0.743,0,389.8,1.32,-1.3,-2.0,1.32,1.2,1.12,394.1,0.0
2024-11-09,60,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,420.3,5.79,5.79,2433.79,5.79,0,0.0,0,0,0,0,0,0,87,0.743,0,395.4,1.32,-1.3,-2.0,1.32,1.2,1.12,420.3,0.0
2024-11-16,61,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,340.5,5.79,5.79,1971.73,5.79,0,0.0,0,0,0,0,0,0,86,0.734,0,397.2,1.32,-1.3,-2.0,1.32,1.2,1.12,340.5,0.0
2024-11-23,62,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,588.7,5.79,5.79,3408.69,5.79,0,0.0,0,0,0,0,0,0,86,0.734,0,478.1,1.32,-1.3,-2.0,1.32,1.2,1.12,588.7,0.0
2024-11-30,63,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,467.6,5.79,5.79,2707.42,5.79,0,0.0,0,0,0,1,0,0,87,0.743,0,529.5,1.32,-1.3,-2.0,1.32,1.2,1.12,467.6,0.0
2024-12-07,64,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,366.6,5.79,5.79,2122.37,5.79,0,0.0,0,0,0,0,0,0,85,0.726,0,414.8,1.32,-1.3,-2.0,1.32,1.2,1.12,366.6,0.0
2024-12-14,65,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,616.2,5.79,5.79,3567.59,5.79,0,0.0,0,0,0,0,1,0,90,0.768,0,510.8,1.32,-1.3,-2.0,1.32,1.2,1.12,616.2,0.0
2024-12-21,66,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,1884.0,5.79,4.05,8364.77,4.44,1,0.3,1,1,0,1,0,0,90,0.768,0,613.5,1.32,-1.3,-2.0,1.32,1.2,1.12,407.2,1476.8
2024-12-28,67,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,2177.3,5.79,4.05,9101.31,4.18,1,0.3,1,1,0,1,0,0,89,0.76,0,540.6,1.32,-1.3,-2.0,1.32,1.2,1.12,407.2,1770.1
2025-01-04,68,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,1357.7,5.79,4.05,5906.02,4.35,1,0.3,1,1,0,0,0,0,89,0.76,0,627.7,1.32,-1.3,-2.0,1.32,1.2,1.12,407.2,950.5
2025-01-11,69,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,660.0,5.79,5.79,3821.21,5.79,0,0.0,0,0,0,1,0,1,88,0.751,0,627.8,1.32,-1.3,-2.0,1.32,1.2,1.12,660.0,0.0
2025-01-18,70,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,423.4,5.79,5.79,2451.47,5.79,0,0.0,0,0,0,1,0,0,88,0.751,0,468.7,1.32,-1.3,-2.0,1.32,1.2,1.12,423.4,0.0
2025-01-25,71,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,453.3,5.79,5.79,2624.46,5.79,0,0.0,0,0,0,0,1,0,88,0.751,0,470.3,1.32,-1.3,-2.0,1.32,1.2,1.12,453.3,0.0
2025-02-01,72,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,625.2,5.79,5.21,3300.83,5.28,1,0.1,0,0,0,0,0,0,90,0.768,0,480.4,1.32,-1.3,-2.0,1.32,1.2,1.12,460.4,164.8
2025-02-08,73,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,501.5,5.79,5.21,2622.66,5.23,1,0.1,0,0,0,0,0,0,90,0.768,0,477.6,1.32,-1.3,-2.0,1.32,1.2,1.12,460.4,41.0
2025-02-15,74,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,421.9,5.79,5.79,2442.69,5.79,0,0.0,0,0,0,1,0,1,88,0.751,0,461.9,1.32,-1.3,-2.0,1.32,1.2,1.12,421.9,0.0
2025-02-22,75,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,480.1,5.79,5.79,2779.93,5.79,0,0.0,0,0,0,0,0,0,88,0.751,0,454.8,1.32,-1.3,-2.0,1.32,1.2,1.12,480.1,0.0
2025-03-01,76,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,474.8,5.79,5.79,2749.28,5.79,0,0.0,0,0,0,0,0,0,90,0.768,0,455.9,1.32,-1.3,-2.0,1.32,1.2,1.12,474.8,0.0
2025-03-08,77,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,418.9,5.79,5.79,2425.44,5.79,0,0.0,0,0,0,0,0,0,90,0.768,0,445.2,1.32,-1.3,-2.0,1.32,1.2,1.12,418.9,0.0
2025-03-15,78,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,372.6,5.99,5.99,2232.16,5.99,0,0.0,0,0,0,0,0,0,92,0.785,0,423.9,1.32,-1.3,-2.0,1.32,1.2,1.12,372.6,0.0
2025-03-22,79,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,435.2,5.99,5.99,2607.02,5.99,0,0.0,0,0,0,0,0,0,93,0.794,0,416.2,1.32,-1.3,-2.0,1.32,1.2,1.12,435.2,0.0
2025-03-29,80,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,440.0,5.99,5.99,2635.55,5.99,0,0.0,0,0,0,0,0,0,92,0.785,0,399.3,1.32,-1.3,-2.0,1.32,1.2,1.12,440.0,0.0
2025-04-05,81,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,398.9,5.99,5.99,2389.68,5.99,0,0.0,0,0,0,0,0,0,93,0.794,0,391.3,1.32,-1.3,-2.0,1.32,1.2,1.12,398.9,0.0
2025-04-12,82,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,331.1,5.99,5.99,1983.47,5.99,0,0.0,0,0,0,1,0,0,94,0.803,0,383.6,1.32,-1.3,-2.0,1.32,1.2,1.12,331.1,0.0
2025-04-19,83,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,348.6,5.99,5.99,2088.39,5.99,0,0.0,0,0,0,0,0,0,93,0.794,0,368.7,1.32,-1.3,-2.0,1.32,1.2,1.12,348.6,0.0
2025-04-26,84,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,395.0,5.99,5.99,2365.96,5.99,0,0.0,0,0,0,0,0,0,94,0.803,0,362.9,1.32,-1.3,-2.0,1.32,1.2,1.12,395.0,0.0
2025-05-03,85,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,415.0,5.99,5.99,2486.01,5.99,0,0.0,0,0,0,0,0,0,93,0.794,0,350.6,1.32,-1.3,-2.0,1.32,1.2,1.12,415.0,0.0
2025-05-10,86,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,338.9,5.99,5.99,2030.04,5.99,0,0.0,0,0,0,0,0,0,93,0.794,0,343.7,1.32,-1.3,-2.0,1.32,1.2,1.12,338.9,0.0
2025-05-17,87,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,304.7,5.99,5.99,1825.3,5.99,0,0.0,0,0,0,0,0,0,92,0.785,0,334.7,1.32,-1.3,-2.0,1.32,1.2,1.12,304.7,0.0
2025-05-24,88,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,402.8,5.99,5.99,2412.47,5.99,0,0.0,0,0,0,1,0,0,93,0.794,0,344.7,1.32,-1.3,-2.0,1.32,1.2,1.12,402.8,0.0
2025-05-31,89,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,288.9,5.99,5.99,1730.39,5.99,0,0.0,0,0,0,0,0,0,92,0.785,0,343.7,1.32,-1.3,-2.0,1.32,1.2,1.12,288.9,0.0
2025-06-07,90,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,345.8,5.99,5.99,2071.34,5.99,0,0.0,0,0,0,0,0,0,94,0.803,0,334.7,1.32,-1.3,-2.0,1.32,1.2,1.12,345.8,0.0
2025-06-14,91,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,286.6,5.99,5.99,1716.93,5.99,0,0.0,0,0,0,1,1,0,96,0.82,0,342.2,1.32,-1.3,-2.0,1.32,1.2,1.12,286.6,0.0
2025-06-21,92,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,1303.7,5.99,4.49,5970.95,4.58,1,0.25,1,1,1,1,0,0,95,0.811,0,340.2,1.32,-1.3,-2.0,1.32,1.2,1.12,342.4,961.4
2025-06-28,93,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,333.7,5.99,5.99,1998.99,5.99,0,0.0,0,0,0,0,0,1,96,0.82,0,363.4,1.32,-1.3,-2.0,1.32,1.2,1.12,333.7,0.0
2025-07-05,94,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,309.8,5.99,5.99,1855.63,5.99,0,0.0,0,0,0,0,0,0,95,0.811,0,373.1,1.32,-1.3,-2.0,1.32,1.2,1.12,309.8,0.0
2025-07-12,95,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,308.6,5.99,5.99,1848.72,5.99,0,0.0,0,0,0,0,0,0,95,0.811,0,350.1,1.32,-1.3,-2.0,1.32,1.2,1.12,308.6,0.0
2025-07-19,96,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,316.7,5.99,5.99,1897.08,5.99,0,0.0,0,0,0,1,0,0,95,0.811,0,354.4,1.32,-1.3,-2.0,1.32,1.2,1.12,316.7,0.0
2025-07-26,97,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,362.9,5.99,5.99,2173.59,5.99,0,0.0,0,0,0,0,0,0,96,0.82,0,362.7,1.32,-1.3,-2.0,1.32,1.2,1.12,362.9,0.0
2025-08-02,98,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,345.3,5.99,5.99,2068.09,5.99,0,0.0,0,0,0,0,0,0,97,0.828,0,371.1,1.32,-1.3,-2.0,1.32,1.2,1.12,345.3,0.0
2025-08-09,99,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,353.5,5.99,5.99,2117.49,5.99,0,0.0,0,0,0,0,0,0,97,0.828,0,375.6,1.32,-1.3,-2.0,1.32,1.2,1.12,353.5,0.0
2025-08-16,100,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,319.0,5.99,5.99,1911.0,5.99,0,0.0,0,0,0,0,0,0,97,0.828,0,379.8,1.32,-1.3,-2.0,1.32,1.2,1.12,319.0,0.0
2025-08-23,101,BW-101,Bramblewick Granola Clusters Honey 12oz,Granola,Fernhollow Market,371.7,5.99,5.99,2226.54,5.99,0,0.0,0,0,0,0,0,0,96,0.82,0,438.5,1.32,-1.3,-2.0,1.32,1.2,1.12,371.7,0.0
